Company,ActiveBrand,Headquarters,Continent,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other ,Rank
K+S,Y,Germany,Europe,14 793,1889,Burkhard Lohr,SDF-DE,Tier 1b - Publicly Traded - Other,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,7,4 416.50,2019,http://www.k-plus-s.com/en/,See Morton Salt,n/a,n/a,FactSet,http://www.k-plus-s.com/en/fotoalbum/morton.html,289
Dräger,Y,Germany,Europe,14 399,1889,Stefan Dräger,DRW3-DE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,9,3 017.00,2019,https://www.draeger.com/,https://www.draeger.com/en-us_us/Alcohol-And-Drug-Detection,n/a,n/a,FactSet,n/a,330
ThyssenKrupp Elevator,Y,Germany,Europe,13 500,1811,n/a,TKA-DE,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Construction,n/a,n/a,9,2 700.00,2018,https://www.thyssenkruppelevator.com/,NYS DOCCS Spending,n/a,n/a,https://www.thyssenkruppelevator.com/about-us/history,n/a,343
Groz-Beckert,Y,Germany,Europe,8 800,1852,n/a,n/a,Tier 3 - Large Privately-Owned  requires outside financing,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,Y,n/a ,910.20,2017,https://www.groz-beckert.com/,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,https://www.groz-beckert.com/en/company/about-groz-beckert/laboratory/,n/a,496
Homag,Y,Germany,Europe,6 371,1960,Pekka Paasivaara,HG1-DE,Tier 1b - Publicly Traded - Other,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,7,26.20,2018,https://www.homag.com/en/,See Stiles Machinery,n/a,n/a,FactSet,n/a,1200
Software AG,Y,Germany,Europe,4 763,1969,Sanjay Brahmawar,SOW-DE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,7,966.30,2019,https://www.softwareag.com/,https://www.softwareag.com/us/solutions/government/default.html,n/a,n/a,FactSet,https://www.najis.org/sponsors,484
MEIKO,Y,Germany,Europe,2 300,1927,n/a,n/a,Tier 2 - Investment Firm-Owned,Food & Commissary,Other,n/a,n/a,7,394.80,2017,http://www.meiko.us/en_us/,https://www.floorplangenie.com/Events/fpg_ACFSA/ACFSA2017/Public/fpg.aspx,n/a,n/a,http://www.meiko.us/en_us/our-company/the-meiko-group/facts-figures/,n/a,610
Orafol,Y,Germany,Europe,450,1808,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,Y,n/a ,90.00,2018,http://www.orafol.com/corp/americas/en/frontpage,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,PrivCo (www.privco.com),n/a,876
CRH,Y,Ireland,Europe,89 831,1970,Albert Manifold,CRH-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,n/a,n/a,12,26 896.30,2019,http://www.crh.com/,See Oldcastle Precast,n/a,n/a,FactSet,n/a,99
Ingersoll Rand,Y,Ireland,Europe,46 000,2009,Michael Lamach,IR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,8,2 451.90,2019,https://company.ingersollrand.com/,See Trane,n/a,n/a,FactSet,n/a,355
Alkermes,Y,Ireland,Europe,2 000,1987,Richard F. Pops,ALKS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,1 170.90,2019,http://www.alkermes.com/,http://www.asca.net/partners/gold.php,n/a,n/a,FactSet,https://www.bloomberg.com/news/articles/2017-11-06/senator-investigates-alkermes-for-pushing-opioid-treatment-sales,458
ALI Group,Y,Italy,Europe,8 070,1968,n/a,n/a,Tier 3 - Large Privately-Owned  requires outside financing,Food & Commissary,Kitchen Equipment,n/a,n/a,n/a ,1 853.90,2014,https://www.aligroup.it/,See Aladdin Temp-Rite  Burlodge  Edlund  Victory Refrigeration,n/a,n/a,PrivCo (www.privco.com),https://www.floorplangenie.com/Events/fpg_ACFSA/ACFSA2017/Public/fpg.aspx,392
Royal Dutch Shell,Y,Netherlands,Europe,92 000,1907,Ben Van Beurden,RDS.A,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,344 877.00,2019,https://www.shell.com/,See MP2 Energy,n/a,n/a,FactSet,n/a,1
Gemalto,Y,Netherlands,Europe,15 000,2006,n/a,HO.PA,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,n/a,n/a,10,3 336.00,2018,https://www.gemalto.com/,See Cogent Systems,n/a,n/a,https://www.gemalto.com/investors-site/Documents/2019/Gemalto-Annual-Report-2018.pdf,https://www.thalesgroup.com/en/group/journalist/press-release/thales-completes-acquisition-gemalto-become-global-leader-digital,320
Pon,Y,Netherlands,Europe,12 052,1895,n/a,n/a,Tier 3 - Large Privately-Owned  requires outside financing,Transportation,Agency Transportation,n/a,n/a,n/a ,7 465.10,2015,http://www.pon.com,See Equipment Depot,n/a,n/a,PrivCo (www.privco.com),n/a,228
Ploeger Oxbo Group,Y,Netherlands,Europe,667,2010,n/a,n/a,Tier 3 - Large Privately-Owned  requires outside financing,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,n/a ,208.20,2013,http://www.ploegeroxbogroup.com,See Oxbo International,n/a,n/a,PrivCo (www.privco.com),n/a,714
Iberdrola,Y,Spain,Europe,34 078,1840,Ignacio Galán,IBE-ES,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,39 533.30,2019,https://www.iberdrola.com/,See Avangrid  New York State Electric and Gas (NYSEG),n/a,n/a,FactSet,https://pitchbook.com/profiles/company/25328-35,61
