Company,ActiveBrand,Headquarters,Continent,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other,Rank
PioneerIndustries,Y,NJ,NorthAmerica,100,n/a,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,n/a,24.00,2016,http://www.pioneerindustries.com/,http://www.4specs.com/s/08/08-3460.html,n/a,n/a,PrivCo(www.privco.com),n/a,1232
RiverCityProduceCompany,Y,TX,NorthAmerica,100,1981,n/a,n/a,Tier4-SmallPrivately-Owned,Food&Commissary,PrisonFood,n/a,n/a,n/a,29.00,2018,http://www.rivercityproduce.com/,TDCJSpending,n/a,n/a,PrivCo(www.privco.com),n/a,1172
ShawnTech,Y,OH,NorthAmerica,100,1993,n/a,n/a,Tier4-SmallPrivately-Owned,Telecom,PrisonCommunications,n/a,n/a,n/a,23.00,2018,http://www.shawntech.com/,Seewebsite,n/a,n/a,PrivCo(www.privco.com),n/a,1247
WilliamsCommunications,Y,FL,NorthAmerica,100,1959,n/a,n/a,Tier4-SmallPrivately-Owned,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,n/a,n/a,n/a,36.00,2018,https://www.wmscom.com/,FLDOCSpending,n/a,n/a,PrivCo(www.privco.com),n/a,1115
CarrierJohnson+Culture,Y,CA,NorthAmerica,98,1977,n/a,n/a,Tier4-SmallPrivately-Owned,Construction&Maintenance,Architecture&Engineerging,n/a,n/a,n/a,18.00,2018,http://www.carrierjohnson.com/,http://gracehebert.com/files/news/Correctional_News_2015_Architect_List.pdf,n/a,n/a,PrivCo(www.privco.com),n/a,1311
QumuCorp(formerlyRimageCorporation),Y,MN,NorthAmerica,97,2002,VernHanzlik,QUMU,Tier1b-PubliclyTraded-Other,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,Y,n/a,9,25.40,2019,https://qumu.com,n/a,Sludge-ICEContract(https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a,1211
A-CNutrition,Y,TX,NorthAmerica,95,1961,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,n/a,44.00,2018,http://acnutrition.com/,TDCJSpending,n/a,n/a,PrivCo(www.privco.com),https://files.usaspending.gov/agency_submissions/Raw%20Quarterly%20DATA%20Act%20Files/2018/Q2/012%20-%20Department%20of%20Agriculture%20(USDA)/File_C_award_financial_USDA_2018Q2.txt,1053
DataworksPlus,Y,SC,NorthAmerica,95,2000,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,SecurityTechnology,n/a,n/a,n/a,18.00,2018,http://www.dataworksplus.com/,https://facts.fldfs.com/Search/ContractSearch.aspx,n/a,n/a,PrivCo(www.privco.com),n/a,1313
DiversitySearchGroup,Y,OH,NorthAmerica,95,2005,n/a,n/a,Tier4-SmallPrivately-Owned,Personnel,ThirdPartyStaffing,n/a,n/a,n/a,4.60,2018,http://www.diversitysearchgroup.com/,OHDRCSpending,n/a,n/a,PrivCo(www.privco.com),n/a,1488
Intoximeters,Y,MO,NorthAmerica,95,1945,n/a,n/a,Tier4-SmallPrivately-Owned,Healthcare,SubstanceAbuseTreatment,n/a,n/a,n/a,27.00,2018,http://www.intox.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,n/a,n/a,PrivCo(www.privco.com),n/a,1194
TenicaAndAssociates,Y,CA,NorthAmerica,92,2008,n/a,n/a,Tier4-SmallPrivately-Owned,Operations&Management,ProcurementContracting&OtherAdminServices,Y,n/a,n/a,21.00,2018,http://www.tenica.biz/,n/a,GovSpend,n/a,PrivCo(www.privco.com),n/a,1279
AmericanTex-ChemCorporation,Y,CA,NorthAmerica,90,2014,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,Y,n/a,44.00,2018,https://www.myamtex.com/,TDCJSpending,n/a,Seecorrectionssource,PrivCo(www.privco.com),n/a,1054
BernardFoodIndustries,Y,IL,NorthAmerica,90,1947,n/a,n/a,Tier4-SmallPrivately-Owned,Food&Commissary,PrisonFood,n/a,n/a,n/a,27.00,2018,http://www.bernardfoods.com/,http://www.bernardfoods.com/about.htm,n/a,n/a,PrivCo(www.privco.com),n/a,1189
